IA_Name,Mode,Action,TargetType,TargetId,Detail
IA-0000144196,ModeB,SET_ADDRESS_PENDING,Address,130UW00000a2izVYAQ,MJ Acupuncture (275 Dekalb Pike Ste 103-2000)
IA-0000144310,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000144335,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000WvWD2A0,Hopewell Psychology King of Prussia (1150 1st Ave Ste 910-0000)
IA-0000144336,ModeB,SET_ADDRESS_PENDING,Address,130UW00000ctd66YAA,NATIONAL MENTOR HEALTHCARE LLC dba PENNSYLVANIA MENTOR (450 Parkway Drive Suite 204-5332)
IA-0000144545,ModeB,SET_ADDRESS_PENDING,Address,130UW00000dGM7lYAG,Forge Medical Group, LLC (920 Town Center Dr-7600)
IA-0000144658,ModeB,SET_ADDRESS_PENDING,Address,130UW00000dGM7lYAG,Forge Medical Group, LLC (920 Town Center Dr-7600)
IA-0000144674,ModeB,SET_ADDRESS_PENDING,Address,130UW00000dGM7lYAG,Forge Medical Group, LLC (920 Town Center Dr-7600)
IA-0000144773,ModeB,SET_ADDRESS_PENDING,Address,130UW00000RiFNCYA3,Hackensack Meridian Health Medical Group Specialty Care, PC (1945 State Route 33-2342)
IA-0000144782,ModeB,SET_ADDRESS_PENDING,Address,130UW00000Ofei1YAB,St. Luke's Internal Medicine Warren (185 Roseberry St-6643)
IA-0000144804,ModeB,SET_ADDRESS_PENDING,Address,130UW00000RiFNCYA3,Hackensack Meridian Health Medical Group Specialty Care, PC (1945 State Route 33-2342)
IA-0000144807,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000X0Z72AK,St Josephs Physicians Healthcare Group Inc (468 Parish Dr Ste 2-5667)
IA-0000144876,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000X1zp2AC,Temple Faculty Emergency Medicine Associates(100 E Lehigh Ave-4000)
IA-0000144883,ModeB,SET_ADDRESS_PENDING,Address,130UW00000c86K5YAI,Soar Medical Services PLLC (1700 Market St Ste 1005-2517)
IA-0000145410,ModeB,SET_ADDRESS_PENDING,Address,130UW00000RiFNCYA3,Hackensack Meridian Health Medical Group Specialty Care, PC (1945 State Route 33-2342)
IA-0000145561,ModeB,SET_ADDRESS_PENDING,Address,130UW00000YELLxYAP,St. Joseph's Medical Group, PC (703 Main St-2000)
IA-0000145607,ModeA,PROMOTE_LOCATION,HCPF,0bSUW000000XG612AG,Hopewell Psychology King of Prussia (1150 1st Ave Ste 910-0000)
IA-0000145646,ModeB,SET_ADDRESS_PENDING,Address,130UW00000RiFNCYA3,Hackensack Meridian Health Medical Group Specialty Care, PC (1945 State Route 33-2342)
IA-0000145964,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000145974,ModeB,SET_ADDRESS_PENDING,Address,130UW00000RiFNCYA3,Hackensack Meridian Health Medical Group Specialty Care, PC (1945 State Route 33-2342)
IA-0000146032,ModeB,SET_ADDRESS_PENDING,Address,130UW00000eaHEbYAM,Author Health Professionals, PC (1100 Ludlow St STE 2134-4400)
IA-0000146126,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146152,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146154,ModeB,SET_ADDRESS_PENDING,Address,130UW00000YELLxYAP,St. Joseph's Medical Group, PC (703 Main St-2000)
IA-0000146156,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146158,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146212,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146213,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146216,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146217,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146220,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146224,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146278,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146281,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146286,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000146874,ModeB,SET_ADDRESS_PENDING,Address,130UW00000XwE9FYAV,Bobby Green Medical PC (820 Bear Tavern Rd-8484)
IA-0000147011,ModeA,SKIP,,,ambiguous: 2 locations, 2 usable - primary is a business decision
IA-0000147026,ModeB,SET_ADDRESS_PENDING,Address,130UW00000bj93RYAQ,Hackensack Meridian Medical Group One Medical PC (371 Warren St-6331)
